IP,Port,Protocol,Country,Anonymity,Speed (s),Last Checked
49.229.100.235,8080,http,,unknown,1.15,2025-05-18 17:03:31 UTC
5.78.84.152,8080,http,,unknown,0.06,2025-05-18 17:03:34 UTC
50.205.202.249,3128,http,,unknown,0.74,2025-05-18 17:03:34 UTC
61.158.175.38,9002,http,,unknown,1.62,2025-05-18 17:03:35 UTC
62.182.204.81,88,http,,unknown,0.78,2025-05-18 17:03:34 UTC
65.108.203.35,28080,http,,unknown,0.49,2025-05-18 17:03:34 UTC
65.108.203.37,18080,http,,unknown,0.51,2025-05-18 17:03:34 UTC
68.208.221.179,80,http,,unknown,0.21,2025-05-18 17:03:37 UTC
8.152.204.59,8081,http,,unknown,0.91,2025-05-18 17:03:38 UTC
80.249.112.164,80,http,,unknown,0.54,2025-05-18 17:03:38 UTC
82.102.10.253,80,http,,unknown,0.48,2025-05-18 17:03:38 UTC
91.205.196.215,8080,http,,unknown,0.76,2025-05-18 17:03:38 UTC
91.241.217.58,9090,http,,unknown,0.70,2025-05-18 17:03:38 UTC
188.132.221.26,8080,http,TR,unknown,2.08,2025-05-18 17:03:39 UTC
